Title,URL,Channel,Channel URL,Thumbnail,Duration
ПИРАТСКАЯ ТЕЛЕСТАНЦИЯ своими руками,,Temnaya FAZA,https://www.youtube.com/@TemnayaFAZA,,N/A
DIY Self Balancing Gyroscopic Camera Stabilizer,,The Q,https://www.youtube.com/@TheQ_original,,N/A
Super Easy Oreo Cinnabon Recipe,,Dubai Tastes,https://www.youtube.com/@DubaiTastes,,N/A
Мой опыт работы в Мосгортранс,,Neo_minigan,https://www.youtube.com/@Neominigan,,N/A
Неудачное метро. Исправляем кракозябры.,,SHERIDAN,https://www.youtube.com/@SHERIDAN_TV,,N/A
Season 1 Ep.1 Andrej Karpathy on the visionary AI in Tesla's autonomous driving,,The Robot Brains Podcast,https://www.youtube.com/@TheRobotBrainsPodcast,,N/A
Обзор на плохое - Гриффины,,Woodmark,https://www.youtube.com/@WoodmarkChannel,,N/A
Смогут ли колонки из тумбочки звучать как Amphion за кучу денег?,,Звукарь бомбит,https://www.youtube.com/@zvukarbombit,,N/A
Примитивные технологии: Обожжённый кирпич,,Primitive Technology,https://www.youtube.com/@primitivetechnology9550,,N/A
How to Make a Handmade Pottery Teapot — ASMR Version,,Florian Gadsby,https://www.youtube.com/@floriangadsby,,N/A
Stanford Professor Reacts To Student Coding Projects,,Code in Place,https://www.youtube.com/@codeinplace,https://i.ytimg.com/vi/3mRvCF4qyTA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDsuq5FJ0h74rNO_bNeQOpeJ-cQpw,N/A
НЕМЕЦКИЕ СЛЕНГОВЫЕ выражения (Как РУГАТЬСЯ ПО-НЕМЕЦКИ),,Deutschklasse,https://www.youtube.com/@Deutschklasse,https://i.ytimg.com/vi/ERLoxZQVDRk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAiiEOTfLvQtGKPckDKB1ea9w1jVw,N/A
"Как сделать трек ГРОМКИМ и что такое громкость. Практика, теория, физика.",,Узкомензурно,https://www.youtube.com/@iliareached,https://i.ytimg.com/vi/n8IBVhVJngA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAYSl-m6YHzXu__MFp4mGpeIr6e5Q,N/A
"Visiting the COLDEST CITY in the World (-71°C, -96°F) YAKUTSK / YAKUTIA",,Ruhi Çenet,https://www.youtube.com/@ruhicenetvideos,https://i.ytimg.com/vi/Fz4ZMLsPzqM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD7lLFLKLpDMr8knpzWZ_uXZaTHlg,N/A
Как сделали изображение черной дыры / Почему мутное / Почему не млечный путь / Что узнали,,Космос Просто,https://www.youtube.com/@cosmosprosto,https://i.ytimg.com/vi/UBKfcKos2mo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDYSoAWf2h3wTFhw4QpB1HkocrSjA,N/A
Как сделать ШКОЛЬНУЮ ПИЦЦУ. Супер Вкусно и Просто,,Umeloe TV,https://www.youtube.com/@Umeloe_TV,https://i.ytimg.com/vi/10Ar-iK7vHM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDQJYX4RyWczGm_SV9FRxVpvSlG9g,N/A
Один на один. Что происходит в Анапе спустя несколько месяцев после крушения танкеров?,,После завтра,https://www.youtube.com/@poslezavtra_media,https://i.ytimg.com/vi/5DRRQi1s4dc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCaVfNnfxoyMaNdiqXz8ONuJF_0_g,N/A
ОДНА ОШИБКА И ДОЛГОВ НА СОТНИ ТЫСЯЧ. FORD FOCUS ЗА 140 ТЫСЯЧ.,,AcademeG,https://www.youtube.com/@AcademeG,,N/A
Как создать умного бизнес ai чат-бота с бесконечной памятью? n8n + supabase,,"NullsCode (NoCode, LowCode, Ai, обучение)",https://www.youtube.com/@nullzcode,,N/A
"И.В. Оселедец. DeepSeek и подходы, реализованные в нем",,МЦМУ МИАН,https://www.youtube.com/@SteklovMathInstitute,,N/A
Клуб «Хромая лошадь» (Пожар в городе Пермь. 2009 год),,Макар Дримчуков,https://www.youtube.com/@Drimchukov,,N/A
Что случилось с вертолётом Ingenuity на Марсе? [Veritasium],,Vert Dider,https://www.youtube.com/@VertDiderScience,,N/A
Киевка. Территория победившего социализма | НЕИЗВЕСТНАЯ РОССИЯ,,Настоящее Время. Док,https://www.youtube.com/@CurrentTimeDoc,,N/A
Что случилось с Якубовичем. К чему пришел в старости «человек-автомобиль!» | Портреты,,Продолжение следует,https://www.youtube.com/@prosleduet,,N/A
Почему новостройки Москвы без балконов? Запрет на застекление в России. Архитектура и бедность.,,Arkadiy Gershman,https://www.youtube.com/@ArkadiyGershman,,N/A
"Сверхтвердые материалы, 1987",,Alexandr Zudin,https://www.youtube.com/@HuanCarlosLJ,,N/A
Как рейдеры отнимают жильё,,Коллектив,https://www.youtube.com/@kollektiv_doc,,N/A
Батагай: где мамонты соседствуют с помидорами | СИБИРИАДА,,Настоящее Время. Док,https://www.youtube.com/@CurrentTimeDoc,,N/A
ИИ продажник ЗАРАБАТЫВАЕТ МНЕ деньги – БИЗНЕС БЕЗ ЛЮДЕЙ,,ИИздец,https://www.youtube.com/@aizdec,,N/A
🖴 Установка Windows нет диска установщик винды не видит диски,,Izzy Laif,https://www.youtube.com/@IzzyLaif,,N/A
Он нам и на… не нужон. Как телевизор победил интернет | Разборы,,Продолжение следует,https://www.youtube.com/@prosleduet,,N/A
Шахтная печь своими руками,,ПироХим,https://www.youtube.com/@PiroXim,,N/A
Подложить свинью | НЕИЗВЕСТНАЯ РОССИЯ,,Настоящее Время. Док,https://www.youtube.com/@CurrentTimeDoc,,N/A
Extraordinary Nature Scenes in 4K | BBC Earth,,BBC Earth,https://www.youtube.com/@bbcearth,https://i.ytimg.com/vi/R-1c2xGajXc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCU8LblkCkPv6fWWBe4n_6yDskHZw,N/A
💅 Машинка пилилка для маникюра Coslus C20 BK-A08,,Izzy Laif,https://www.youtube.com/@IzzyLaif,https://i.ytimg.com/vi/CmtQ9FpH1aY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDYrsP0jSqk9Qwq5iDg29NYVHwoQA,N/A
"Возведение телевизионной башни в Останкино, 1969",,Alexandr Zudin,https://www.youtube.com/@HuanCarlosLJ,https://i.ytimg.com/vi/tTQ74kkb7Q4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAbgIph1fm-0jsQQETebcqSVmly2Q,N/A
"Он продал квартиру, чтобы снимать кино | Бездомный с киноаппаратом",,Коллектив,https://www.youtube.com/@kollektiv_doc,https://i.ytimg.com/vi/BW1ZNppJcCU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAP4m8DBs6IY75aza_Vgfi_SCLa-w,N/A
Край Приморья | НЕИЗВЕСТНАЯ РОССИЯ,,Настоящее Время. Док,https://www.youtube.com/@CurrentTimeDoc,,N/A
3 Hours of Incredible 4K Nature Footage | BBC Earth,,BBC Earth,https://www.youtube.com/@bbcearth,,N/A
👨 БОМЖЭ,,Izzy Laif,https://www.youtube.com/@IzzyLaif,,N/A
n8n: Автоматизация процессов с помощью Ai,,Anthony Vdovitchenko,https://www.youtube.com/@C0D3633K,,N/A
Полуторник. Разделенный посёлок | НЕИЗВЕСТНАЯ РОССИЯ,,Настоящее Время. Док,https://www.youtube.com/@CurrentTimeDoc,,N/A
"Психолог МЧС о том, как пережить смерть",,Коллектив,https://www.youtube.com/@kollektiv_doc,,N/A
🎙️ Микрофон Blue Yeti по чесноку,,Izzy Laif,https://www.youtube.com/@IzzyLaif,,N/A
Христиан Гюйгенс и теория удара,,GetAClass - Физика в опытах и экспериментах,https://www.youtube.com/@getaclassphys,,N/A
Баку теряет себя: как амбиции и деньги уничтожают город. Урбанистический абсурд столицы Азербайджана,,Arkadiy Gershman,https://www.youtube.com/@ArkadiyGershman,,N/A
Чёрное золото России | НЕИЗВЕСТНАЯ РОССИЯ,,Настоящее Время. Док,https://www.youtube.com/@CurrentTimeDoc,,N/A
